Date;Code INSEE region;Region;Vitesse du vent a 100m (m/s);Rayonnement solaire (W/m2)
2016-01-29;28;Normandie;11.03125;44.16375
2016-01-29;32;Hauts-de-France;10.06625;40.18125
2016-01-29;44;Grand Est;7.795;74.64875
2016-01-29;52;Pays de la Loire;9.92625;47.71875
2016-01-29;53;Bretagne;10.995;46.1975
2016-01-29;75;Nouvelle-Aquitaine;5.01375;80.82375
2016-01-29;76;Occitanie;5.9350000000000005;60.90625
2016-01-29;84;Auvergne-Rhone-Alpes;2.82375;53.0075
2016-01-29;93;Provence-Alpes-Cote d'Azur;6.04125;90.795
2016-01-30;11;Ile-de-France;9.55;7.93375
2016-01-30;24;Centre-Val de Loire;9.13875;12.00375
2016-01-30;27;Bourgogne-Franche-Comte;6.495;46.055
2016-01-30;28;Normandie;11.21375;16.900000000000002
2016-01-30;32;Hauts-de-France;10.43125;15.1875
2016-01-30;44;Grand Est;8.075;22.155
2016-01-30;52;Pays de la Loire;10.2375;10.8625
2016-01-30;53;Bretagne;11.045;18.80875
2016-01-30;75;Nouvelle-Aquitaine;5.28875;50.17
2016-01-30;76;Occitanie;7.05;105.0425
2016-01-30;84;Auvergne-Rhone-Alpes;3.44125;87.1225
2016-01-30;93;Provence-Alpes-Cote d'Azur;6.4525;106.54375
2016-01-31;11;Ile-de-France;9.385;10.66625
2016-01-31;24;Centre-Val de Loire;9.1175;11.165000000000001
2016-01-31;27;Bourgogne-Franche-Comte;7.0287500000000005;8.16375
2016-01-31;28;Normandie;10.735;15.803749999999999
2016-01-31;32;Hauts-de-France;10.088750000000001;11.645
2016-01-31;44;Grand Est;8.1375;9.435
2016-01-31;52;Pays de la Loire;9.63125;14.7775
2016-01-31;53;Bretagne;10.72875;19.75875
2016-01-31;75;Nouvelle-Aquitaine;5.53;17.88375
2016-01-31;76;Occitanie;7.575;30.615000000000002
2016-01-31;84;Auvergne-Rhone-Alpes;3.37875;18.01
2016-01-31;93;Provence-Alpes-Cote d'Azur;7.8225;82.42375
2016-02-01;11;Ile-de-France;9.025;33.46125
2016-02-01;24;Centre-Val de Loire;8.22;38.53875
2016-02-01;27;Bourgogne-Franche-Comte;6.26125;41.2575
2016-02-01;28;Normandie;10.35625;33.32625
2016-02-01;32;Hauts-de-France;9.7075;27.03625
2016-02-01;44;Grand Est;7.73625;34.67875
2016-02-01;52;Pays de la Loire;8.90375;38.545
2016-02-01;53;Bretagne;10.04625;36.14375
2016-02-01;75;Nouvelle-Aquitaine;5.3825;53.41625
2016-02-01;76;Occitanie;7.895;83.76875
2016-02-01;84;Auvergne-Rhone-Alpes;3.80625;73.18375
2016-02-01;93;Provence-Alpes-Cote d'Azur;6.66875;114.44874999999999
2016-02-02;11;Ile-de-France;9.065;20.134999999999998
2016-02-02;24;Centre-Val de Loire;8.3275;33.455
2016-02-02;27;Bourgogne-Franche-Comte;6.8775;45.425
2016-02-02;28;Normandie;10.45875;26.634999999999998
2016-02-02;32;Hauts-de-France;9.84125;19.53
2016-02-02;44;Grand Est;7.29;26.7225
2016-02-02;52;Pays de la Loire;9.1025;37.14
2016-02-02;53;Bretagne;9.79375;41.805
2016-02-02;75;Nouvelle-Aquitaine;4.97625;52.38375
2016-02-02;76;Occitanie;7.8875;84.29124999999999
2016-02-02;84;Auvergne-Rhone-Alpes;3.8475;77.44125
2016-02-02;93;Provence-Alpes-Cote d'Azur;6.0625;86.49625
2016-02-03;11;Ile-de-France;9.23625;80.30250000000001
2016-02-03;24;Centre-Val de Loire;8.38375;82.89874999999999
2016-02-03;27;Bourgogne-Franche-Comte;7.10625;58.715
2016-02-03;28;Normandie;10.72125;68.7375
2016-02-03;32;Hauts-de-France;9.80875;65.2825
2016-02-03;44;Grand Est;7.43375;62.238749999999996
2016-02-03;52;Pays de la Loire;9.29125;91.99000000000001
2016-02-03;53;Bretagne;10.57625;86.40625
2016-02-03;75;Nouvelle-Aquitaine;5.695;90.17125
